Dependent-Company Status,year of founding,Age of company in years,Internet Activity Score,Employee Count,Has the team size grown,Est. Founding Date,Last Funding Date,Last Funding Amount,Country of company,Continent of company,Number of Investors in Seed,Number of Investors in Angel and or VC,Number of Co-founders,Number of of advisors,Team size Senior leadership,Team size all employees,Presence of a top angel or venture fund in previous round of investment,Number of of repeat investors,Number of  Sales Support material,Worked in top companies,Average size of companies worked for in the past,Have been part of startups in the past?,Have been part of successful startups in the past?,Was he or she partner in Big 5 consulting?,Consulting experience?,Product or service company?,Catering to product/service across verticals,Focus on private or public data?,Focus on consumer data?,Focus on structured or unstructured data,Subscription based business,Cloud or platform based serive/product?,Local or global player,Linear or Non-linear business model,"Capital intensive business e.g. e-commerce, Engineering products and operations can also cause a business to be capital intensive",Crowdsourcing based business,Crowdfunding based business,Machine Learning based business,Predictive Analytics business,Speech analytics business,Prescriptive analytics business,Big Data Business,Cross-Channel Analytics/ marketing channels,Owns data or not? (monetization of data) e.g. Factual,Is the company an aggregator/market place? e.g. Bluekai,Online or offline venture - physical location based business or online venture?,B2C or B2B venture?,Top forums like 'Tech crunch' or 'Venture beat' talking about the company/model - How much is it being talked about?,Average Years of experience for founder and co founder,Exposure across the globe,Breadth of experience across verticals,Highest education,Years of education,Relevance of education to venture,Relevance of experience to venture,Renowned in professional circle,Experience in selling and building products,Experience in Fortune 100 organizations,Experience in Fortune 500 organizations,Experience in Fortune 1000 organizations,Number of Recognitions for Founders and Co-founders,Skills score,Team Composition score,Dificulty of Obtaining Work force,Pricing Strategy,Hyper localisation,Time to market service or product,Long term relationship with other founders,Proprietary or patent position (competitive position),Barriers of entry for the competitors,Company awards,Controversial history of founder or co founder,Legal risk and intellectual property,google page rank of company website,Technical proficiencies to analyse and interpret unstructured data,Solutions offered,Invested through global incubation competitions?,Industry trend in investing,Disruptiveness of technology,Number of Direct competitors,Employees per year of company existence,Last round of funding received (in milionUSD),Time to 1st investment (in months),"Avg time to investment - average across all rounds, measured from previous investment",Time to maturity of technology (in years),Renown score
1,2011,3,762,34,0,1/1/2011,8/13/2013,16000000,United States,North America,0,0,2,1,8,50,0,0,Medium,0,0,1,1,0,0,Both,0,Public,1,Both,0,Platform,1,Non-Linear,0,0,0,0,0,0,0,1,0,0,0,Online,B2B,1,2,1,2,Bachelors,18,0,1,500,2,0,0,1,4,14.5,2,1,1,0,0,0,1,1,0,0,0,142907,1,1,0,4,1,4,25,16,24,2.7,1,6
1,2010,4,140,31,0,1/1/2010,6/27/2012,6300000,United States,North America,0,1,0,1,7,50,0,1,Medium,0,0,1,1,0,0,Product,1,Private,0,Structured,0,Platform,1,Non-Linear,0,0,0,0,0,0,0,0,0,0,0,Online,B2B,0,2,1,2,Masters,21,1,1,500,2,0,0,0,0,12,2,1,1,0,0,0,1,1,0,0,1,1560315,0,0,0,3,1,0,16.6,6.3,18,3.8,0,0
1,2010,4,115,47,0,1/1/2010,9/10/2013,11500000,United States,North America,0,0,0,1,8,50,0,1,High,0,1,1,1,0,1,Product,1,Private,1,Structured,0,Cloud,0,Non-Linear,1,0,0,0,0,0,0,0,1,0,0,Online,B2B,1,2,1,1,Bachelors,18,1,1,500,2,1,0,0,0,0,2,1,1,0,0,0,1,1,1,0,0,172054,0,1,0,3,1,0,16.6,11.5,12,6,1,0
1,2008,6,277,22,0,6/20/2008,1/3/2012,6500000,United States,North America,0,0,3,0,6,22,0,0,Low,0,2,1,0,1,1,Product,0,Public,1,Both,1,Cloud,1,Non-Linear,0,0,0,0,0,0,0,1,0,1,0,Online,B2B,1,1,1,0,Bachelors,18,1,1,500,1,0,0,1,1,20.5,1,1,1,0,0,0,0,1,0,0,0,99081,1,1,1,3,1,0,4.4,6.5,14,7.3,2,0
1,2010,4,242,13,0,1/1/2010,11/11/2013,2800000,United States,North America,0,2,2,0,5,50,0,0,High,0,1,0,0,0,0,Product,1,Public,1,Both,0,Platform,0,Non-Linear,0,0,0,1,1,0,0,1,1,1,0,Online,B2B,0,2,1,2,PhD,25,1,1,500,1,0,0,0,1,22.5,2,1,1,0,0,1,1,1,0,0,0,713494,1,1,0,3,1,0,16.6,2.8,48,48,1,1
1,2008,6,533,129,1,1/1/2008,1/27/2014,41000000,United States,North America,0,0,2,0,8,200,0,0,High,0,0,0,0,0,0,Both,0,Public,1,Both,0,Platform,1,Non-Linear,1,0,0,0,1,0,0,0,0,0,0,Online,B2B,1,2,1,1,Masters,21,1,1,500,2,0,1,0,9,21,2,1,1,0,0,1,0,1,1,0,0,289041,1,1,0,3,1,0,40,41,38,8,1,5
1,2010,4,81,23,0,1/1/2010,12/14/2012,3499999,United States,North America,0,3,1,0,7,50,0,2,High,0,0,0,0,0,0,Product,1,Public,1,Both,0,Platform,0,Non-Linear,1,0,0,0,1,0,0,1,0,0,0,Online,B2B,0,2,1,2,Masters,21,1,1,417,2,0,0,0,1,12,1,1,1,0,0,0,1,1,0,0,0,1939943,1,1,0,3,1,0,16.6,3.499999,3,11.1,1,2
1,2009,5,471,52,0,6/1/2009,10/17/2013,10000000,United States,North America,0,0,3,0,8,50,0,2,Low,0,0,0,0,0,0,Both,1,Both,1,Both,0,Platform,1,Non-Linear,0,0,0,1,1,0,1,1,1,0,0,Online,B2B,1,2,1,1,Masters,21,1,1,500,2,0,0,0,0,4.5,2,1,1,0,0,0,1,1,0,0,0,276491,1,1,0,4,2,0,12.5,10,30,12.6,1,0
1,2002,12,47,46,1,1/1/2002,12/14/2012,750000,United States,North America,0,3,0,0,8,200,0,0,Medium,1,0,1,1,0,0,Both,0,Public,1,Both,0,Platform,0,Non-Linear,1,0,0,1,0,0,0,0,0,1,0,Online,B2B,0,2,1,2,Masters,21,1,1,500,1,0,0,0,0,18.5,2,2,1,0,2,0,1,0,1,0,0,3341960,1,1,0,4,2,0,18.2,0.75,35,24.6,1,5
1,2010,4,60,5,0,4/1/2010,11/23/2012,749999,United States,North America,0,6,2,0,4,50,0,0,Low,0,0,1,1,0,0,Product,0,Private,1,Both,0,Cloud,0,Non-Linear,0,0,0,0,1,0,0,1,0,0,0,Online,B2B,0,2,0,0,Bachelors,18,0,1,500,2,0,0,0,0,0,2,2,0,0,2,0,0,1,0,0,0,2461569,0,1,0,4,2,4,16.6,0.749999,20,5.5,1,8
1,2010,4,70,27,1,1/1/2010,5/6/2011,5000000,United States,North America,0,1,2,0,5,26,0,0,Medium,1,1,1,0,0,0,Both,1,Private,1,Structured,0,Cloud,1,Non-Linear,0,0,0,1,1,0,0,1,0,0,1,Offline,B2B,2,2,1,0,Bachelors,18,1,1,410,2,1,1,1,56,22,1,1,1,0,0,1,1,0,0,0,0,1246836,1,0,0,4,1,0,8.6,5,15,15,1,7
1,2005,9,242,31,1,1/1/2005,3/13/2013,1500000,United States,North America,0,0,2,0,4,26,0,0,Medium,0,1,1,1,1,1,Both,1,Public,0,Both,1,Platform,1,Non-Linear,0,0,0,1,1,0,1,1,0,0,0,Both,B2B,2,2,1,2,Masters,21,1,1,500,0,1,1,1,100,14,0,0,0,0,1,0,0,0,1,0,0,269278,0,1,0,4,2,0,3.2,1.5,96,96,1,0
1,2012,2,245,32,1,1/1/2012,1/29/2014,15000000,United States,North America,0,0,3,8,3,33,1,2,High,1,1,1,1,0,0,Service,1,Private,1,Structured,0,Platform,1,Non-Linear,0,0,0,0,0,0,0,1,1,0,0,Offline,B2B,2,2,1,1,Masters,21,1,1,500,0,1,1,1,58,17,2,1,0,1,0,1,0,0,1,0,0,761788,0,0,0,3,1,0,33,15,10,7.4,1,9
1,2009,5,114,31,1,1/1/2011,1/1/2011,6379489.4,United States,North America,6,0,2,6,5,22,1,4,Medium,0,0,1,1,0,1,Service,1,Both,0,Structured,0,Platform,1,Non-Linear,0,0,0,0,0,0,0,1,1,1,1,Online,B2B,2,2,0,2,Masters,21,0,1,500,0,0,0,0,59,30,0,0,0,0,0,0,1,0,1,0,0,109189,1,0,0,3,1,0,5.5,5.2,5,18,1,9
1,2012,2,373,3,1,3/1/2012,11/1/2013,1700000,United States,North America,1,0,2,0,2,3,0,0,Medium,0,0,1,1,0,0,Service,1,Public,0,Both,1,Platform,0,Linear,1,1,0,1,1,0,1,1,0,1,0,Online,B2C,2,2,1,1,PhD,25,1,1,500,0,0,0,0,81,40,0,0,0,1,1,1,1,1,0,0,0,642250,1,0,0,3,2,5,3,1.7,14,3.6,1,3
1,2011,3,61,5,1,6/1/2011,8/1/2011,250000,United States,North America,3,0,2,1,3,5,0,0,Low,0,0,1,1,0,0,Service,1,Private,1,Structured,1,Platform,1,Non-Linear,0,0,0,0,0,0,0,1,1,0,0,Online,B2B,2,2,1,1,Masters,21,0,0,500,0,0,0,0,24,14,0,0,0,0,0,0,0,0,0,0,0,3799200,1,0,0,2,0,3,2.5,0.25,1,6.1,0,0
1,2009,5,155,5,1,1/1/2009,12/12/2013,1400000,United States,North America,0,0,3,0,3,6,0,0,Low,0,1,0,0,1,0,Service,1,Private,0,Unstructured,0,Platform,1,Non-Linear,0,0,0,0,0,0,0,0,0,1,1,Online,B2B,0,1,0,0,Bachelors,18,0,0,307,0,1,1,1,67,0,0,0,0,0,1,0,1,1,1,0,0,2497831,0,0,1,4,2,0,1.5,1.4,48,48,1,0
1,2013,1,43,31,0,3/1/2013,7/1/2013,1100000,United States,North America,6,0,1,0,1,5,0,0,Low,0,0,0,0,0,0,Service,0,Private,0,Both,1,Platform,1,Non-Linear,0,0,0,1,1,1,1,1,0,0,0,Online,B2C,0,0,0,0,PhD,25,0,0,500,0,0,0,0,53,32,0,0,0,1,1,0,0,0,0,0,0,7253712,1,0,0,3,1,0,5,1.1,4,4,0,4
1,2007,7,11,31,1,11/1/2007,4/30/2013,15000000,United States,North America,0,0,2,8,10,110,1,2,High,0,1,0,0,0,0,Service,0,Private,0,Structured,0,Platform,0,Linear,1,0,0,1,1,0,1,1,1,0,0,Online,B2B,0,2,0,1,Bachelors,18,0,1,500,1,1,1,1,71,18,2,2,1,1,1,1,1,1,1,0,1,296645,0,0,1,4,2,0,18.3,15,36,13.6,2,1
1,2012,2,281,3,0,5/1/2012,4/1/2013,200000,United States,North America,3,0,2,0,2,3,0,0,Medium,0,0,0,0,0,0,Service,0,Private,0,Both,0,Platform,1,Non-Linear,0,1,0,0,0,0,0,0,0,1,0,Online,B2C,0,1,0,1,Bachelors,18,1,1,350,0,0,0,0,79,17,0,0,0,0,0,1,0,0,0,0,0,155498,0,1,0,2,0,5,3,0.2,6,3,1,5
1,2012,2,421,7,0,1/1/2011,1/15/2013,600000,United States,North America,2,0,4,0,4,50,0,0,Medium,0,0,0,0,0,0,Service,1,Private,0,Both,1,Platform,1,Linear,1,0,0,0,0,0,0,1,0,0,0,Online,B2B,0,0,0,0,Bachelors,18,0,0,500,0,0,0,0,58,13,0,0,1,0,1,0,1,0,0,0,0,38021,1,1,1,4,2,0,25,0.6,1,1,1,2
1,2008,6,91,39,0,1/8/2008,9/22/2011,6379489.4,United States,North America,0,1,2,0,7,35,1,3,Low,1,2,1,0,0,0,Service,0,Private,0,Both,1,Platform,0,Linear,1,0,0,1,0,0,0,0,0,0,0,Online,B2B,0,2,1,1,PhD,25,1,1,500,2,0,1,1,120,16,2,2,1,0,1,1,1,1,1,0,0,2518862,1,0,1,4,2,0,7,unknown amount,8,12.1,2,4
1,2010,4,983,115,1,1/1/2010,3/18/2014,20000000,United States,North America,2,3,3,2,5,132,1,3,High,0,0,0,0,0,0,Product,1,Both,0,Both,1,Platform,1,Non-Linear,0,0,0,0,1,0,1,1,0,0,0,Online,B2B,0,1,0,1,Bachelors,18,0,0,470,1,0,0,0,63,31,2,2,1,0,0,1,1,0,1,0,0,9355,0,0,1,4,2,0,44,20,1,12,1,1
1,2011,3,68,9,1,11/1/2011,1/1/2013,2000000,United States,North America,1,0,3,0,4,8,0,0,Low,0,1,1,0,0,0,Service,1,Both,0,Both,1,Platform,1,Non-Linear,0,0,0,1,1,0,1,1,1,1,0,Online,B2B,0,1,0,0,Bachelors,18,1,1,500,0,0,0,0,116,14,0,0,0,0,1,0,0,0,0,0,0,1024425,0,0,0,2,0,0,4,2,14,10.6,0,2
1,2010,4,114,31,0,1/1/2011,1/1/2011,6379489.4,United States,North America,0,5,1,0,6,12,0,1,Low,0,1,1,1,0,1,Product,1,Private,0,Structured,1,Platform,1,Non-Linear,0,0,0,1,1,0,1,1,0,0,0,Online,B2B,0,2,0,0,Bachelors,18,0,0,500,0,0,0,0,69,28,1,1,0,0,0,0,0,0,0,0,0,2518862,0,0,0,2,0,0,4,1,1,9.4,1,1
1,2012,2,75,14,1,1/1/2012,5/24/2013,2870890,United States,North America,0,3,2,6,4,13,0,0,Medium,0,1,0,0,0,0,Service,1,Public,1,Structured,1,Platform,1,Non-Linear,0,0,0,1,1,0,1,1,1,0,0,Offline,B2B,0,2,0,1,Bachelors,18,0,1,500,2,1,1,1,61,45,1,1,1,0,1,1,1,1,1,0,0,1951415,0,0,1,4,1,0,13,2.87089,7,5,1,0
1,2012,2,140,26,1,8/1/2012,10/21/2013,5200000,United States,North America,0,0,4,4,4,30,1,2,High,0,1,0,0,0,0,Service,1,Private,1,Structured,0,Platform,1,Linear,1,0,0,0,0,0,0,1,0,0,0,Offline,B2B,0,2,1,1,Bachelors,18,1,1,500,1,0,0,0,0,21,1,2,0,0,1,0,0,1,0,0,0,912860,0,1,0,4,1,0,30,5.2,1,7.1,1,3
1,2012,2,46,6,1,2/1/2012,8/7/2012,70000,United States,North America,4,0,2,3,2,4,0,1,Low,0,0,1,1,0,0,Product,1,Private,1,Structured,1,Platform,1,Non-Linear,0,0,0,0,0,0,1,0,1,0,0,Online,B2B,0,1,0,0,Masters,21,1,1,500,1,0,0,0,7,19,0,1,0,0,2,1,1,1,0,0,1,2439989,0,1,1,4,2,0,4,0.07,14,1,1,4
1,2010,4,33,13,1,6/4/2010,3/29/2013,1000000,United States,North America,24,0,2,0,4,10,0,4,Low,0,1,0,0,0,0,Service,0,Private,1,Structured,1,Platform,0,Non-Linear,0,0,0,0,0,0,1,1,0,0,0,Online,B2B,0,2,0,1,Bachelors,18,0,1,500,1,0,0,0,1,13,0,2,0,0,1,0,0,0,0,0,0,3792883,0,1,0,4,2,3,3.3,1,4,9.8,0,0
1,2010,4,56,7,0,10/1/2010,10/23/2012,450000,United States,North America,3,0,5,0,5,10,0,0,Medium,1,0,0,0,0,0,Service,1,Public,1,Structured,1,Platform,1,Non-Linear,0,0,0,0,1,0,0,0,0,0,0,Online,B2B,0,1,1,1,Bachelors,18,1,1,500,1,1,1,0,245,13,1,1,1,0,0,0,0,0,0,0,0,4518529,1,1,0,3,2,3,2,0.45,12,14,1,5
1,2012,2,89,6,0,1/1/2012,6/1/2013,6379489.4,United States,North America,2,1,2,1,2,7,0,0,Medium,0,0,1,0,0,0,Service,1,Private,0,Unstructured,1,Platform,0,Non-Linear,1,0,0,1,1,0,1,1,1,0,1,Online,B2C,0,2,1,0,Masters,21,0,1,500,2,0,0,0,193,15,0,1,0,0,1,1,0,0,1,0,0,2219202,0,0,0,2,2,5,7,unknown amount,18,18,1,3
1,2009,5,69,3,0,1/30/2009,1/1/2012,6379489.4,United States,North America,2,0,2,9,3,13,1,0,Medium,0,0,1,1,0,1,Product,1,Private,1,Unstructured,1,Cloud,0,Linear,0,0,0,1,1,0,1,1,0,0,0,Online,B2B,0,2,0,0,Bachelors,18,1,1,500,2,0,0,0,287,15,0,1,1,0,2,0,0,0,0,0,0,2518862,0,1,0,2,2,5,3.2,unknown amount,10,10,1,5
1,2011,3,374,57,1,4/1/2011,8/1/2010,60000,United States,North America,1,0,0,8,3,57,0,0,Medium,0,1,0,0,0,0,Service,1,Public,0,Unstructured,0,Platform,1,Linear,0,0,0,1,0,0,1,0,0,0,0,Online,B2C,0,2,1,1,Masters,21,1,1,500,0,1,0,0,439,25,0,1,1,0,0,1,0,0,0,0,0,2518862,0,0,1,2,2,3,28.5,0.06,10,12,0,2
1,2008,6,40,12,1,1/1/2008,7/8/2013,2517424,United States,North America,0,0,3,0,6,50,0,1,Low,0,0,0,0,0,1,Product,1,Private,1,Structured,1,Cloud,1,Non-Linear,0,0,0,0,1,0,0,0,0,0,0,Online,B2B,0,2,1,2,Masters,21,1,1,500,1,0,0,0,1,25,1,2,1,0,1,0,0,0,1,0,0,2607547,0,1,0,4,2,0,10,2.517424,36,4,2,9
1,2012,2,114,31,1,1/1/2011,1/1/2011,6379489.4,United States,North America,5,0,2,3,4,200,1,3,Low,0,2,1,1,0,1,Product,0,Public,0,Both,0,Platform,0,Non-Linear,0,0,0,0,0,0,0,0,0,1,1,Both,B2B,0,2,0,0,Masters,21,1,0,500,2,1,0,0,201,20,1,1,0,0,2,0,0,1,0,0,0,375492,1,0,0,2,2,3,200,14,6,8,1,8
1,2010,4,24,25,1,1/1/2010,7/30/2013,1750000,United States,North America,0,0,4,10,6,23,0,0,Low,0,0,1,1,0,0,Product,0,Private,1,Structured,1,Cloud,1,Non-Linear,0,0,0,0,0,0,0,1,0,0,0,Online,B2B,0,2,0,0,PhD,25,0,0,500,1,0,0,0,0,12,0,2,1,0,1,0,0,1,0,0,0,1810474,1,1,0,4,2,0,7.6,1.75,15,7,1,2
1,2011,3,295,35,1,1/1/2011,2/5/2013,3000000,United States,North America,0,1,2,2,2,32,0,0,High,0,1,0,0,0,0,Product,1,Private,0,Structured,1,Platform,1,Non-Linear,0,0,0,0,0,0,0,1,0,0,0,Online,B2B,0,2,0,1,PhD,25,0,0,500,1,0,0,0,1,25,1,2,1,0,1,0,0,1,0,0,0,221783,1,1,0,4,2,0,16,3,16,3,1,6
1,2003,11,111,267,1,12/1/2003,7/29/2013,30000000,United States,North America,1,0,2,13,14,300,0,0,Low,0,1,1,1,0,0,Product,0,Private,1,Structured,0,Platform,1,Non-Linear,0,0,0,0,1,0,0,1,0,0,0,Online,B2C,0,2,1,1,Bachelors,18,1,1,500,1,0,0,0,0,25,1,1,0,0,1,0,0,1,0,0,0,1089377,0,1,0,4,2,0,30,30,72,24,1,0
1,2000,14,160,594,1,1/1/2000,6/24/2013,25000000,United States,North America,1,0,2,0,9,616,0,0,High,0,2,0,0,0,0,Service,1,Private,1,Structured,1,Platform,1,Non-Linear,0,0,0,0,1,0,1,1,0,0,0,Offline,B2B,0,2,1,2,Bachelors,18,1,1,500,2,0,0,0,9,51.5,2,2,0,0,0,1,0,0,1,0,0,213086,1,1,0,3,1,0,47.4,25,156,156,1,1
0,2009,4,0,31,0,1/1/2011,11/1/2006,11000000,United States,North America,0,0,2,0,2,7,1,3,Low,1,0,1,1,0,0,Product,1,Private,1,Unstructured,1,Cloud,0,Non-Linear,0,0,0,1,0,0,1,0,0,0,0,Online,B2C,0,2,1,1,Bachelors,18,1,1,500,1,0,1,1,126,32,0,1,1,0,0,0,0,0,0,0,1,375318,1,0,0,4,0,3,1,11,12,1,1,5
1,2011,3,805,23,1,5/6/2011,12/3/2013,4000000,United States,North America,0,3,2,1,3,28,1,2,High,0,1,1,1,0,0,Service,1,Both,0,Both,1,Cloud,1,Non-Linear,0,0,0,0,0,0,0,1,0,0,1,Online,B2B,1,2,1,1,Bachelors,18,1,1,500,1,0,0,0,0,25,0,0,1,0,0,0,0,0,0,0,0,11967,0,1,0,4,2,0,14,4,13,4.6,0,3
1,2009,5,129,50,1,7/1/2009,6/13/2011,13000000,United States,North America,0,0,2,2,4,55,1,3,Medium,1,2,1,1,0,0,Both,0,Private,1,Structured,0,Platform,1,Non-Linear,0,0,0,1,1,0,1,1,1,0,0,Offline,B2B,1,2,1,1,Bachelors,18,1,1,500,1,1,1,1,0,14,0,1,1,0,0,0,0,1,0,0,0,169460,1,1,0,4,2,0,13.8,13,1,7.7,1,0
1,2009,5,416,31,1,1/1/2009,12/27/2013,1070901,United States,North America,0,0,3,5,7,115,1,4,High,0,2,0,0,1,0,Both,1,Private,0,Structured,1,Cloud,1,Non-Linear,0,0,0,1,1,0,1,1,0,0,0,Online,B2B,1,2,1,2,Masters,21,1,1,500,2,0,0,0,100,44,2,1,1,0,1,1,0,0,1,0,0,447301,0,0,0,3,1,0,28.8,1.070901,20,4.9,1,9
1,2007,7,114,31,1,1/1/2011,1/1/2011,6379489.4,United States,North America,0,2,4,3,8,70,1,5,Low,0,1,0,0,0,0,Service,0,Private,0,Structured,1,Platform,1,Non-Linear,0,0,0,1,1,0,1,1,0,0,0,Online,B2B,2,2,1,2,Masters,21,1,1,440,1,0,0,0,75,26,2,1,1,1,1,1,1,1,1,0,0,2518862,1,1,0,4,2,3,11.6,15,12,6.5,2,6
1,2012,2,888,38,1,9/1/2012,2/4/2014,6500000,United States,North America,10,0,1,3,4,40,1,2,High,0,1,0,0,0,0,Service,1,Both,0,Both,1,Platform,1,Linear,1,0,0,0,0,0,0,1,0,0,1,Online,B2B,0,1,0,0,Bachelors,18,0,0,500,0,0,0,0,79,0,1,1,1,0,1,0,1,0,1,0,0,86394,1,0,1,3,2,0,40,6.5,8,4.2,1,4
1,2011,3,524,31,1,1/1/2011,1/1/2011,6379489.4,United States,North America,3,0,2,2,3,30,1,1,Medium,0,1,0,0,0,0,Service,1,Private,0,Both,1,Cloud,1,Linear,1,0,0,0,0,0,0,1,0,0,1,Online,B2B,1,2,1,2,Bachelors,18,0,1,500,1,0,0,0,74,22,1,1,1,0,0,1,1,0,1,0,0,217103,1,0,0,3,1,0,15,5,11,3.3,1,0
