Company_Name,Company-Status,year of founding,Age of company in years,Internet Activity Score,Short-Description,Industry of company,Focus functions of company,Investors,Employee Count,Employees count MoM change,Has the team size grown,Est. Founding Date,Last Funding Date,Last Funding Amount,Country of company,Continent of company,Number of Investors in Seed,Number of Investors in Angel or VC,Number of Co-founders,Number of of advisors,Team size Senior leadership,Team size all employees,Presence of top angel or venture fund,Number of repeat investors,Number of Sales Support material,Worked in top companies,Ave size of companies worked,Part of startups in the past,Part of successful startups in the past,Partner in Big 5 consulting,Consulting experience?,Product or service company?,Catering to product/service,Focus on private or public data?,Focus on consumer data?,Focus on structured or unstructured data,Subscription based business,Cloud or platform based serive/product?,Local or global player,Linear or Non-linear business model,Capital intensive business,Crowdsourcing based business,Crowdfunding based business,Machine Learning based business,Predictive Analytics business,Speech analytics business,Prescriptive analytics business,Big Data Business,Cross-Channel Analytics,Owns monetization of data,Company an aggregator/market place,Online or offline venture,B2C or B2B venture?,Top forums for company/Model,Ave Years of experience for founder/co-founder,Exposure across the globe,Breadth of experience across verticals,Highest education,Years of education,Specialization of highest education,Relevance of education to venture,Relevance of experience to venture,Renowned in professional circle,Experience in selling and building products,Experience in Fortune 100 organizations,Experience in Fortune 500 organizations,Experience in Fortune 1000 organizations,Number of Recognitions for founders/co-founders,Skills score,Team Composition score,Dificulty of Obtaining Work force,Pricing Strategy,Hyper localisation,Time to market service or product,Long term relationship with other founders,Proprietary or patent position,Barriers of entry for the competitors,Company awards,Controversial history of founder/co-founder,Legal risk and intellectual property,google page rank of company website,Technical proficiencies to analyse,Solutions offered,Global incubation competitions,Industry trend in investing,Disruptiveness of technology,Number of Direct competitors,Employees per year of company existence,Last round of funding received (in milionUSD),Survival through recession,Time to 1st investment (in months),Avg time to investment,Gartner hype cycle stage,Time to maturity of technology (in years),Percent_skill_Entrepreneurship,Percent_skill_Operations,Percent_skill_Engineering,Percent_skill_Marketing,Percent_skill_Leadership,Percent_skill_Data Science,Percent_skill_Business Strategy,Percent_skill_Product Management,Percent_skill_Sales,Percent_skill_Domain,Percent_skill_Law,Percent_skill_Consulting,Percent_skill_Finance,Percent_skill_Investment,Renown score
Company12,Success,2010.0,4.0,140.0,Big Data Analytics,Analytics,operations,.406 Ventures|fidelity growth partners global|Fidelity Growth Partners Europe,31.0,3.0,No,1/1/2010,6/27/2012,6300000.0,United States,North America,0.0,1.0,0,1,7,50.0,No,1.0,medium,No,Small,Yes,Yes,No,No,Product,Yes,Private,No,Structured,No,Platform,Global,Non-Linear,No,No,No,No,No,No,No,No,No,No,No,Online,B2B,Low,High,Yes,High,Masters,21.0,Visual Studies,Yes,Yes,500.0,High,0.0,0.0,0.0,0.0,12.0,High,Medium,Yes,No,Low,No,Yes,Yes,No,No,Yes,1560315.0,No,No,No,3.0,Medium,0.0,16.6,6.3,Not Applicable,18.0,3.8,Plateau,0 to 2,27.3,0.0,18.2,0.0,9.1,0.0,36.4,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Company13,Success,2010.0,4.0,115.0,Human insight at machine scale,Media|Finance|Marketing,"Marketing 
sales",Battery Ventures|In-Q-Tel|Jump Capital|SAP Ventures|Northwestern University,47.0,7.0,No,1/1/2010,9/10/2013,11500000.0,United States,North America,0.0,0.0,0,1,8,50.0,No,1.0,high,No,Medium,Yes,Yes,No,Yes,Product,Yes,Private,Yes,Structured,No,Cloud,Local,Non-Linear,Yes,No,No,No,No,No,No,No,Yes,No,No,Online,B2B,Medium,High,Yes,Medium,Bachelors,18.0,Law,Yes,Yes,500.0,High,1.0,0.0,0.0,0.0,0.0,High,Medium,Yes,No,Low,No,Yes,Yes,Yes,No,No,172054.0,No,Yes,No,3.0,Medium,0.0,16.6,11.5,Not Applicable,12.0,6.0,Trigger,2 to 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Company14,Success,2008.0,6.0,277.0,Analytics for the Music Industry,Music|Analytics,Technology,Foundry Group|SoftTech VC|Troy Henikoff|David Cohen|Alsop Louie Partners|David Cancel|IA Ventures|TechStars|Techstars,22.0,0.0,No,6/20/2008,1/3/2012,6500000.0,United States,North America,0.0,0.0,3,0,6,22.0,No,0.0,low,No,Large,Yes,No,Yes,Yes,Product,No,Public,Yes,Both,Yes,Cloud,Global,Non-Linear,No,No,No,No,No,No,No,Yes,No,Yes,No,Online,B2B,Medium,Medium,Yes,Low,Bachelors,18.0,"Learning and Organizational Change
Computer Science",Yes,Yes,500.0,Medium,0.0,0.0,1.0,1.0,20.5,Medium,Medium,Yes,No,Low,No,No,Yes,No,No,No,99081.0,Yes,Yes,Yes,3.0,Medium,0.0,4.4,6.5,Yes,14.0,7.3,Trigger,5 to 10,8.3,0.0,50.0,16.7,0.0,12.5,4.2,4.2,4.2,0.0,0.0,0.0,0.0,0.0,0.0
Company15,Success,2010.0,4.0,242.0,Advanced predictive analytics,E-Commerce|Gaming|Analytics,"marketing, sales",Harvard Business School Angels|Tech Coast Angels,13.0,0.0,No,1/1/2010,11/11/2013,2800000.0,United States,North America,0.0,2.0,2,0,5,50.0,No,0.0,high,No,Medium,No,No,No,No,Product,Yes,Public,Yes,Both,No,Platform,Local,Non-Linear,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Online,B2B,Low,High,Yes,High,PhD,25.0,Communication,Yes,Yes,500.0,Medium,0.0,0.0,0.0,1.0,22.5,High,Medium,Yes,No,Low,Yes,Yes,Yes,No,No,No,713494.0,Yes,Yes,No,3.0,Medium,0.0,16.6,2.8,Not Applicable,48.0,48.0,Peak,2 to 5,13.3,0.0,6.7,60.0,0.0,13.3,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Company16,Success,2008.0,6.0,533.0,Healthcare Data,Healthcare|Analytics,Data Management,Norwest Venture Partners|Sequoia Capital|Sorenson Capital|Kaiser Permanente Ventures|CHV Capital,129.0,8.0,YES,1/1/2008,1/27/2014,41000000.0,United States,North America,0.0,0.0,2,0,8,200.0,No,0.0,high,No,Small,No,No,No,No,Both,No,Public,Yes,Both,No,Platform,Global,Non-Linear,Yes,No,No,No,Yes,No,No,No,No,No,No,Online,B2B,Medium,High,Yes,Medium,Masters,21.0,Business management,Yes,Yes,500.0,High,0.0,1.0,0.0,9.0,21.0,High,Medium,Yes,No,Low,Yes,No,Yes,Yes,No,No,289041.0,Yes,Yes,No,3.0,Medium,0.0,40.0,41.0,Yes,38.0,8.0,Peak,2 to 5,11.1,5.6,5.6,0.0,11.1,11.1,27.8,0.0,11.1,5.6,0.0,0.0,5.6,5.6,5.0
Company17,Success,2010.0,4.0,81.0,Big Data Analytics,Analytics,Marketing,Hummer Winblad Venture Partners|US Venture Partners|Presidio Ventures|Mohr Davidow Ventures,23.0,0.0,No,1/1/2010,12/14/2012,3499999.0,United States,North America,0.0,3.0,1,0,7,50.0,No,2.0,high,No,Small,No,No,No,No,Product,Yes,Public,Yes,Both,No,Platform,Local,Non-Linear,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Online,B2B,Low,High,Yes,High,Masters,21.0,Computer Science,Yes,Yes,417.0,High,0.0,0.0,0.0,1.0,12.0,Medium,Medium,Yes,No,Low,No,Yes,Yes,No,No,No,1939943.0,Yes,Yes,No,3.0,Medium,0.0,16.6,3.5,Not Applicable,3.0,11.1,Slope,2 to 5,8.3,0.0,58.3,0.0,0.0,0.0,25.0,0.0,0.0,8.3,0.0,0.0,0.0,0.0,2.0
Company18,Success,2009.0,5.0,471.0,Marketing Intelligence Platform,Marketing,Marketing & Sales,Sequoia Capital|Giza Venture Capital|Adams Street Partners,52.0,-4.0,No,6/1/2009,10/17/2013,10000000.0,United States,North America,0.0,0.0,3,0,8,50.0,No,2.0,low,No,Small,No,No,No,No,Both,Yes,Both,Yes,Both,No,Platform,Global,Non-Linear,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Online,B2B,Medium,High,Yes,Medium,Masters,21.0,Communication,Yes,Yes,500.0,High,0.0,0.0,0.0,0.0,4.5,High,Medium,Yes,No,Low,No,Yes,Yes,No,No,No,276491.0,Yes,Yes,No,4.0,High,0.0,12.5,10.0,Not Applicable,30.0,12.6,Trough,2 to 5,20.0,0.0,20.0,0.0,40.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Company19,Success,2002.0,12.0,47.0,water management solutions,Analytics,Solution providing,Firelake Capital Management|RockPort Capital Partners|Chrysalis Ventures|Monitor Ventures|Shea Ventures,46.0,2.0,YES,1/1/2002,12/14/2012,750000.0,United States,North America,0.0,3.0,0,0,8,200.0,No,0.0,medium,Yes,Small,Yes,Yes,No,No,Both,No,Public,Yes,Both,No,Platform,Local,Non-Linear,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Online,B2B,Low,High,Yes,High,Masters,21.0,economics,Yes,Yes,500.0,Medium,0.0,0.0,0.0,0.0,18.5,High,High,Yes,No,High,No,Yes,No,Yes,No,No,3341960.0,Yes,Yes,No,4.0,High,0.0,18.2,0.8,Yes,35.0,24.6,Peak,2 to 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Company20,Success,2010.0,4.0,60.0,In-Store Mobile Commerce,Advertising|Retail|Mobile,"Marketing 
sales",Innovation Endeavors|Metamorphic Ventures|Motorola Solutions Venture Capital|Christian Dahlen,5.0,0.0,No,4/1/2010,11/23/2012,749999.0,United States,North America,0.0,6.0,2,0,4,50.0,No,0.0,low,No,Small,Yes,Yes,No,No,Product,No,Private,Yes,Both,No,Cloud,Local,Non-Linear,No,No,No,No,Yes,No,No,Yes,No,No,No,Online,B2B,Low,High,No,Low,Bachelors,18.0,Electrical Engineering,No,Yes,500.0,High,0.0,0.0,0.0,0.0,0.0,High,High,No,No,High,No,No,Yes,No,No,No,2461569.0,No,Yes,No,4.0,High,4.0,16.6,0.7,Not Applicable,20.0,5.5,Trigger,2 to 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
Company21,Success,2010.0,4.0,70.0,Internet Company,Marketing,Marketing,TechStars,27.0,0.0,YES,1/1/2010,5/6/2011,5000000.0,United States,North America,0.0,1.0,2,0,5,26.0,No,0.0,medium,Yes,Medium,Yes,No,No,No,Both,Yes,Private,Yes,Structured,No,Cloud,Global,Non-Linear,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Offline,B2B,High,High,Yes,Low,Bachelors,18.0,Computer Science,Yes,Yes,410.0,High,1.0,1.0,1.0,56.0,22.0,Medium,Medium,Yes,No,Low,Yes,Yes,No,No,No,No,1246836.0,Yes,No,No,4.0,Medium,0.0,8.6,5.0,Not Applicable,15.0,15.0,Slope,2 to 5,5.6,0.0,27.8,11.1,0.0,16.7,27.8,5.6,0.0,5.6,0.0,0.0,0.0,0.0,7.0
Company22,Success,2005.0,9.0,242.0,Social Business Analytics,Analytics,Social Media,Alta Ventures Mexico,14.5,0.0,YES,1/1/2005,3/13/2013,1500000.0,United States,North America,0.0,0.0,2,0,4,26.0,No,0.0,medium,No,Medium,Yes,Yes,Yes,Yes,Both,Yes,Public,No,Both,Yes,Platform,Global,Non-Linear,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Both,B2B,High,High,Yes,High,Masters,21.0,MBA,Yes,Yes,500.0,Low,1.0,1.0,1.0,100.0,14.0,Low,Low,No,No,Medium,No,No,No,Yes,No,No,269278.0,No,Yes,No,4.0,High,0.0,3.2,1.5,Yes,96.0,96.0,Plateau,2 to 5,8.3,0.0,0.0,0.0,0.0,25.0,33.3,8.3,8.3,0.0,0.0,16.7,0.0,0.0,0.0
Company23,Success,2012.0,2.0,245.0,Marketing intelligence solutions,Analytics,Marketing,Accel Partners|Lightspeed Venture Partners|Elad Gil|Jafco Ventures,32.0,3.0,YES,1/1/2012,1/29/2014,15000000.0,United States,North America,0.0,0.0,3,8,3,33.0,Yes,2.0,high,Yes,Medium,Yes,Yes,No,No,Service,Yes,Private,Yes,Structured,No,Platform,Global,Non-Linear,No,No,No,No,No,No,No,Yes,Yes,No,No,Offline,B2B,High,High,Yes,Medium,Masters,21.0,Computer Science,Yes,Yes,500.0,Low,1.0,1.0,1.0,58.0,17.0,High,Medium,No,Yes,Low,Yes,No,No,Yes,No,No,761788.0,No,No,No,3.0,Medium,0.0,33.0,15.0,Not Applicable,10.0,7.4,Peak,2 to 5,8.1,0.0,17.9,2.0,2.1,8.1,14.2,4.0,4.0,4.2,0.0,0.0,0.0,2.1,9.0
Company25,Success,2012.0,2.0,373.0,Smart Data for Better Places,Mobile|Retail,Community Betterment,TechStars|MI Ventures LLC|NEA Venture Capital|TriplePoint Capital|Kima Ventures|Correlation Ventures|Scrum Ventures,3.0,0.0,YES,3/1/2012,11/1/2013,1700000.0,United States,North America,1.0,0.0,2,0,2,3.0,No,0.0,medium,No,Small,Yes,Yes,No,No,Service,Yes,Public,No,Both,Yes,Platform,Local,Linear,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Online,B2C,High,High,Yes,Medium,PhD,25.0,Image Processing,Yes,Yes,500.0,Low,0.0,0.0,0.0,81.0,40.0,Low,Low,No,Yes,Medium,Yes,Yes,Yes,No,No,No,642250.0,Yes,No,No,3.0,High,5.0,3.0,1.7,Not Applicable,14.0,3.6,Peak,2 to 5,11.4,0.0,20.6,11.1,2.9,5.7,25.7,2.8,11.3,2.8,0.0,0.0,0.0,5.7,3.0
Company26,Success,2011.0,3.0,61.0,White Label Web Analytics,Analytics,Web Analytics,Bogusia Riebandt|Peter Emonds|A Squared Capital Partners,5.0,0.0,YES,6/1/2011,8/1/2011,250000.0,United States,North America,3.0,0.0,2,1,3,5.0,No,0.0,Nothing,No,Small,Yes,Yes,No,No,Service,Yes,Private,Yes,Structured,Yes,Platform,Global,Non-Linear,No,No,No,No,No,No,No,Yes,Yes,No,No,Online,B2B,High,High,Yes,Medium,Masters,21.0,Electrical Engineering,No,No,500.0,Low,0.0,0.0,0.0,24.0,14.0,Low,Low,No,No,Low,No,No,No,No,No,No,3799200.0,Yes,No,No,2.0,Low,3.0,2.5,0.2,Not Applicable,1.0,6.1,Plateau,0 to 2,15.4,0.0,0.0,46.2,0.0,7.7,7.7,0.0,7.7,15.4,0.0,0.0,0.0,0.0,0.0
Company27,Success,2009.0,5.0,155.0,Investing tools made simple,Analytics|Finance,Strategy,Long Light Capital|Continuity Capital,5.0,0.0,YES,1/1/2009,12/12/2013,1400000.0,United States,North America,0.0,0.0,3,0,3,6.0,No,0.0,low,No,Medium,No,No,Yes,No,Service,Yes,Private,No,Unstructured,No,Platform,Global,Non-Linear,No,No,No,No,No,No,No,No,No,Yes,Yes,Online,B2B,Low,Medium,No,Low,Bachelors,18.0,Arts,No,No,307.0,Low,1.0,1.0,1.0,67.0,0.0,Low,Low,No,No,Medium,No,Yes,Yes,Yes,No,No,2497831.0,No,No,Yes,4.0,High,0.0,1.5,1.4,Not Applicable,48.0,48.0,Trough,2 to 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
